,X.x,kingdom,phylum,class,order,family,genus,scientific_name,sl_mm,sl_sex,sl_ref,tl_mm,tl_sex,tl_ref,fl_mm,fl_sex,fl_ref,dw_mm,dw_sex,dw_ref,max_weight_g,max_weight_ref,benthic,pelagic,benthopelagic,bathypelagic,pelagic.neritic,pelagic.oceanic,demersal,reef.associated,anadromous,catadromous,amphidromous,potamodromous,limnodromous,oceanodromous,non.migratory,freshwater,brackish,marine,use_fisheries,use_aquaculture,use_gamefish,use_bait,use_aquarium,use_ref,phylo_div,phylo_div_ref,troph_level,troph_level_se,troph_level_ref,resil,resil_ref,resil_K,resil_tm,resil_tmax,resil_fec,vulnerab,vulnerab_ref,price,price_ref,main_ref,IUCN_Status,Harvesting,Pollution,Energy_Production_and_Mining,Natural_System_Modification,Invasive_Species_and_Disease,Climate_Change,Development,Human_Disturbance,Transportation,Aquaculture_and_Agriculture,Other,Geological_Events
4076,4076,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,Chaetodon smithi,NA,,NA,170,male/unsexed,9710,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.4,0.45,69278,less than 15 months,120179,,,,,15,59153,,NA,4858,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4077,4077,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,Chaetodon tinkeri,NA,,NA,150,male/unsexed,9710,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,commercial,5358,0.5,82805,3.4,0.48,69278,less than 15 months,120179,,,,,12,59153,,NA,1602,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4078,4078,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,Chaetodon trichrous,NA,,NA,120,male/unsexed,9710,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,commercial,,0.5,82805,3.3,0.6,69278,less than 15 months,120179,,,,,10,59153,,NA,4855,LC,1,0,0,0,0,0,0,0,0,0,0,0
4079,4079,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,Chaetodon tricinctus,NA,,NA,150,male/unsexed,9710,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,commercial,,0.5,82805,3.3,0.6,69278,less than 15 months,120179,,,,,12,59153,,NA,4859,LC,1,0,0,0,0,1,0,0,0,0,0,0
4080,4080,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,Chaetodon wiebeli,NA,,NA,190,male/unsexed,2272,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,commercial,,0.5,82805,2.7,0.24,69278,less than 15 months,120179,,,,,15,59153,,NA,4858,LC,1,0,0,0,0,0,0,0,0,0,0,0
4081,4081,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,Chaetodon xanthurus,140,male/unsexed,4858,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,commercial,4858,0.5,82805,2.8,0.26,69278,less than 15 months,120179,,,,,13,59153,,NA,4858,LC,1,0,0,0,0,0,0,0,0,0,0,0
4082,4082,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,Chaetodon zanzibarensis,NA,,NA,120,male/unsexed,9710,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,commercial,,0.5,82805,3.3,0.61,69278,less than 15 months,120179,,,,,10,59153,,NA,4858,LC,1,0,0,0,0,1,0,0,0,0,0,0
4083,4083,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Prognathodes,Prognathodes aculeatus,NA,,NA,100,male/unsexed,47838,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,,,,,commercial,,0.5002,82805,3.4,0.2,69278,less than 15 months,120179,,,,,10,59153,,NA,47838,LC,1,0,0,0,0,1,0,0,0,0,0,0
4084,4084,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Prognathodes,Prognathodes aya,NA,,NA,150,male/unsexed,7251,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,commercial,,0.5002,82805,3.4,0.3,69278,less than 15 months,120179,,,,,12,59153,,NA,47838,LC,1,0,0,0,0,0,0,0,0,0,0,0
4085,4085,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Prognathodes,Prognathodes brasiliensis,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5002,82805,3.4,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,40849,LC,1,0,0,0,0,0,0,0,0,0,0,0
4086,4086,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Prognathodes,Prognathodes carlhubbsi,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5002,82805,3.4,0.3,69278,less than 15 months,120179,,,,,12,59153,,NA,46206,NT,0,0,0,0,0,1,0,0,0,0,0,0
4087,4087,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Prognathodes,Prognathodes dichrous,NA,,NA,160,male/unsexed,4858,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,commercial,,0.5002,82805,3.5,0.37,69278,less than 15 months,120179,,,,,12,59153,,NA,6943,LC,1,0,0,0,0,0,0,0,0,0,0,0
4088,4088,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Prognathodes,Prognathodes falcifer,NA,,NA,150,male/unsexed,9286,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,commercial,4858,0.5002,82805,3.3,0.34,69278,less than 15 months,120179,,,,,12,59153,,NA,4858,LC,1,0,0,0,0,0,0,0,0,0,0,0
4089,4089,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Prognathodes,Prognathodes guyanensis,NA,,NA,136,male/unsexed,9626,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,commercial,4537;4537,0.5002,82805,2.9,0.27,69278,less than 15 months,120179,,,,,11,59153,,NA,47838,LC,1,0,0,0,0,0,0,0,0,0,0,0
4090,4090,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Prognathodes,Prognathodes guyotensis,NA,,NA,150,male/unsexed,559,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5002,82805,3.4,0.3,69278,1.4 - 4.4 years,120179,,,,,12,59153,,NA,559,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4091,4091,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Prognathodes,Prognathodes obliquus,NA,,NA,150,male/unsexed,13121,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5002,82805,3.4,0.3,69278,less than 15 months,120179,,,,,12,59153,,NA,47838,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4092,4092,Animalia,Chordata,Actinopteri,Scombriformes,Chiasmodontidae,Chiasmodon,Chiasmodon braueri,44,male/unsexed,6944,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,,,,,,,0.5078,82805,3.2,0.4,69278,,120179,,,,,10,59153,,NA,6944,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4093,4093,Animalia,Chordata,Actinopteri,Scombriformes,Chiasmodontidae,Chiasmodon,Chiasmodon subniger,30,male/unsexed,6944,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5078,82805,3.1,0.4,69278,,120179,,,,,10,59153,,NA,82429,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4094,4094,Animalia,Chordata,Actinopteri,Scombriformes,Chiasmodontidae,Pseudoscopelus,Pseudoscopelus aphos,145,male/unsexed,56658,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.4,0.4,69278,,120179,,,,,10,59153,,NA,56658,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4095,4095,Animalia,Chordata,Actinopteri,Scombriformes,Chiasmodontidae,Pseudoscopelus,Pseudoscopelus cephalus,89,male/unsexed,56658,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,9686,0.5,82805,3.3,0.4,69278,,120179,,,,,10,59153,,NA,85782,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4096,4096,Animalia,Chordata,Actinopteri,Scombriformes,Chiasmodontidae,Pseudoscopelus,Pseudoscopelus parini,168,male/unsexed,57779,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.4,0.4,69278,,120179,,,,,11,59153,,NA,57779,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4097,4097,Animalia,Chordata,Actinopteri,Scombriformes,Chiasmodontidae,Pseudoscopelus,Pseudoscopelus sagamianus,215,male/unsexed,56658,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.5,0.4,69278,,120179,,,,,16,59153,,NA,85782,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4098,4098,Animalia,Chordata,Actinopteri,Callionymiformes,Draconettidae,Centrodraco,Centrodraco abstractum,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5001,82805,3.3,0.4,69278,,120179,,,,,10,59153,,NA,75990,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4099,4099,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Emmelichthyidae,Erythrocles,Erythrocles acarina,89,male/unsexed,10394,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5156,82805,3.2,0.4,69278,less than 15 months,120179,,,,,11,59153,,NA,10394,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4100,4100,Animalia,Chordata,Actinopteri,Acropomatiformes,Epigonidae,Epigonus,Epigonus affinis,145,male/unsexed,44983,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.4,0.5,69278,1.4 - 4.4 years,120179,,,,,33,59153,,NA,31632,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4101,4101,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Benthophilus,Benthophilus casachicus,NA,,NA,76,male/unsexed,50519,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,,,,,,,0.5,82805,3.3,0.3,69278,less than 15 months,120179,,,,,14,59153,,NA,50519,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4102,4102,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Benthophilus,Benthophilus grimmi,NA,,NA,95,male/unsexed,2058,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,,,,,,0.5,82805,3.3,0.3,69278,less than 15 months,120179,,,,,15,59153,,NA,2058,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4103,4103,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Benthophilus,Benthophilus leobergius,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,,,,,,,0.5,82805,3.4,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,58297,LC,0,1,0,0,0,0,0,0,0,0,0,0
4104,4104,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Benthophilus,Benthophilus magistri,NA,,NA,84,male/unsexed,2058,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,,,,,,,0.5,82805,3.3,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,31728,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4105,4105,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Benthophilus,Benthophilus mahmudbejovi,NA,,NA,66,male/unsexed,50519,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,,,,,,0.5,82805,3.3,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,27116,LC,0,1,0,0,0,0,0,0,0,0,0,0
4106,4106,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Benthophilus,Benthophilus nudus,NA,,NA,150,male/unsexed,58669,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,,,,,,,0.5,82805,3.4,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,58669,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4107,4107,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Benthophilus,Benthophilus spinosus,NA,,NA,34,male/unsexed,2058,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,,,,,,0.5,82805,3.1,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,2058,LC,0,0,1,0,0,0,0,0,0,0,0,0
4108,4108,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Benthophilus,Benthophilus svetovidovi,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,,,,,,0.5,82805,3.3,0.3,69278,less than 15 months,120179,,,,,17,59153,,NA,27116,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4109,4109,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Chromogobius,Chromogobius britoi,25.2,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.625,82805,3.2,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,41100,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4110,4110,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Corcyrogobius,Corcyrogobius lubbocki,NA,,NA,20,male/unsexed,5299,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.75,82805,3,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,5299,VU,1,1,0,0,0,0,1,0,0,1,0,0
4111,4111,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Coryogalops,Coryogalops adamsoni,NA,,NA,65,male/unsexed,11441,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5002,82805,3.3,0.3,69278,less than 15 months,120179,,,,,12,59153,,NA,11441,LC,0,0,0,1,0,0,1,0,0,0,0,0
4112,4112,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Coryogalops,Coryogalops bretti,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,,,,,,0.5002,82805,3.2,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,40966,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4113,4113,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Coryogalops,Coryogalops bulejiensis,NA,,NA,45,male/unsexed,11441,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5002,82805,3.2,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,11441,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4114,4114,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Coryogalops,Coryogalops monospilus,NA,,NA,50,male/unsexed,11441,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5002,82805,3.2,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,11441,DD,0,0,0,0,0,0,1,1,0,0,1,0
4115,4115,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Coryogalops,Coryogalops tessellatus,35,male/unsexed,10683,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5002,82805,3.2,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,10683,LC,0,0,0,1,0,0,1,0,0,0,0,0
4116,4116,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Didogobius,Didogobius kochi,58,male/unsexed,5299,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5039,82805,3.3,0.3,69278,less than 15 months,120179,,,,,13,59153,,NA,5299,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4117,4117,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Didogobius,Didogobius schlieweni,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5039,82805,3.2,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,10711,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4118,4118,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Didogobius,Didogobius splechtnai,28.1,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5039,82805,3.1,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,10711,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4119,4119,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Gobius,Gobius ateriformis,NA,,NA,68,male/unsexed,39517,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.2,0.2,69278,less than 15 months,120179,,,,,12,59153,,NA,39517,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4120,4120,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Gobius,Gobius kolombatovici,90.6,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.2,0.2,69278,less than 15 months,120179,,,,,21,59153,,NA,37044,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4121,4121,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Gobius,Gobius rubropunctatus,NA,,NA,80,male/unsexed,5299,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,,,,,,,0.5,82805,3.2,0.2,69278,less than 15 months,120179,,,,,15,59153,,NA,5299,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4122,4122,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Gobius,Gobius senegambiensis,73,male/unsexed,5299,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.2,0.2,69278,less than 15 months,120179,,,,,16,59153,,NA,5299,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4123,4123,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Gobius,Gobius tetrophthalmus,NA,,NA,60,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.2,0.2,69278,less than 15 months,120179,,,,,14,59153,,NA,39517,VU,0,0,0,0,0,0,1,0,0,0,0,0
4124,4124,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Knipowitschia,Knipowitschia cameliae,NA,,NA,31,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,,,,,,,0.5,82805,3.3,0.4,69278,less than 15 months,120179,,,,,10,59153,,NA,36656,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4125,4125,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Knipowitschia,Knipowitschia iljini,NA,,NA,47,male/unsexed,2058,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,,,,,,,0.5,82805,3.3,0.4,69278,less than 15 months,120179,,,,,10,59153,,NA,2058,DD,0,1,1,0,0,0,0,0,0,0,0,0
4126,4126,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Lesueurigobius,Lesueurigobius koumansi,NA,,NA,110,male/unsexed,5299,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5312,82805,3.4,0.3,69278,less than 15 months,120179,,,,,20,59153,,NA,5299,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4127,4127,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Mauligobius,Mauligobius nigri,NA,,NA,87,male/unsexed,4343,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,of no interest,,,,,2743,0.75,82805,3.3,0.3,69278,less than 15 months,120179,,,,,15,59153,,NA,57403,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4128,4128,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Mesogobius,Mesogobius nonultimus,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,,,,,,0.625,82805,3.5,0.3,69278,1.4 - 4.4 years,120179,,,,,23,59153,,NA,2058,DD,0,1,1,0,0,0,0,0,0,0,0,0
4129,4129,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Neogobius,Neogobius caspius,NA,,NA,345,male/unsexed,2058,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,,,,,,0.5625,82805,3.4,0.1,69278,1.4 - 4.4 years,120179,,,,,32,59153,,NA,2058,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4130,4130,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Oxyurichthys,Oxyurichthys lonchotus,47,male/unsexed,28618,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.4,0.5,69278,less than 15 months,120179,,,,,11,59153,,NA,28614,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4131,4131,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Oxyurichthys,Oxyurichthys notonema,75,male/unsexed,48637,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.6,0.5,69278,less than 15 months,120179,,,,,16,59153,,NA,42915,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4132,4132,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Oxyurichthys,Oxyurichthys paulae,68.9,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.6,0.5,69278,less than 15 months,120179,,,,,15,59153,,NA,28614,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4133,4133,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Oxyurichthys,Oxyurichthys stigmalophius,NA,,NA,165,male/unsexed,7251,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,commercial,,0.5,82805,3.8,0.5,69278,less than 15 months,120179,,,,,26,59153,,NA,7251,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
